msa_code,msa_name
10180,"abilene, tx"
10380,"aguadilla-isabela, pr"
10420,"akron, oh"
10500,"albany, ga"
10540,"albany, or"
10580,"albany-schenectady-troy, ny"
10740,"albuquerque, nm"
10780,"alexandria, la"
10900,"allentown-bethlehem-easton, pa-nj"
11020,"altoona, pa"
11100,"amarillo, tx"
11180,"ames, ia"
11260,"anchorage, ak"
11460,"ann arbor, mi"
11500,"anniston-oxford-jacksonville, al"
11540,"appleton, wi"
11640,"arecibo, pr"
11700,"asheville, nc"
12020,"athens-clarke county, ga"
12060,"atlanta-sandy springs-roswell, ga"
12100,"atlantic city-hammonton, nj"
12220,"auburn-opelika, al"
12260,"augusta-richmond county, ga-sc"
12420,"austin-round rock, tx"
12540,"bakersfield, ca"
12580,"baltimore-columbia-towson, md"
12620,"bangor, me"
12700,"barnstable town, ma"
12940,"baton rouge, la"
12980,"battle creek, mi"
13020,"bay city, mi"
13140,"beaumont-port arthur, tx"
13220,"beckley, wv"
13380,"bellingham, wa"
13460,"bend-redmond, or"
13740,"billings, mt"
13780,"binghamton, ny"
13820,"birmingham-hoover, al"
13900,"bismarck, nd"
13980,"blacksburg-christiansburg-radford, va"
14010,"bloomington, il"
14020,"bloomington, in"
14100,"bloomsburg-berwick, pa"
14260,"boise city, id"
14460,"boston-cambridge-newton, ma-nh"
14500,"boulder, co"
14540,"bowling green, ky"
14740,"bremerton-silverdale, wa"
14860,"bridgeport-stamford-norwalk, ct"
15180,"brownsville-harlingen, tx"
15260,"brunswick, ga"
15380,"buffalo-cheektowaga-niagara falls, ny"
15500,"burlington, nc"
15540,"burlington-south burlington, vt"
15680,"california-lexington park, md"
15940,"canton-massillon, oh"
15980,"cape coral-fort myers, fl"
16020,"cape girardeau, mo-il"
16060,"carbondale-marion, il"
16180,"carson city, nv"
16220,"casper, wy"
16300,"cedar rapids, ia"
16540,"chambersburg-waynesboro, pa"
16580,"champaign-urbana, il"
16620,"charleston, wv"
16700,"charleston-north charleston, sc"
16740,"charlotte-concord-gastonia, nc-sc"
16820,"charlottesville, va"
16860,"chattanooga, tn-ga"
16940,"cheyenne, wy"
16980,"chicago-naperville-elgin, il-in-wi"
17020,"chico, ca"
17140,"cincinnati, oh-ky-in"
17300,"clarksville, tn-ky"
17420,"cleveland, tn"
17460,"cleveland-elyria, oh"
17660,"coeur d'alene, id"
17780,"college station-bryan, tx"
17820,"colorado springs, co"
17860,"columbia, mo"
17900,"columbia, sc"
17980,"columbus, ga-al"
18020,"columbus, in"
18140,"columbus, oh"
18580,"corpus christi, tx"
18700,"corvallis, or"
18880,"crestview-fort walton beach-destin, fl"
19060,"cumberland, md-wv"
19100,"dallas-fort worth-arlington, tx"
19140,"dalton, ga"
19180,"danville, il"
19300,"daphne-fairhope-foley, al"
19340,"davenport-moline-rock island, ia-il"
19380,"dayton, oh"
19460,"decatur, al"
19500,"decatur, il"
19660,"deltona-daytona beach-ormond beach, fl"
19740,"denver-aurora-lakewood, co"
19780,"des moines-west des moines, ia"
19820,"detroit-warren-dearborn, mi"
20020,"dothan, al"
20100,"dover, de"
20220,"dubuque, ia"
20260,"duluth, mn-wi"
20500,"durham-chapel hill, nc"
20700,"east stroudsburg, pa"
20740,"eau claire, wi"
20940,"el centro, ca"
21060,"elizabethtown-fort knox, ky"
21140,"elkhart-goshen, in"
21300,"elmira, ny"
21340,"el paso, tx"
21500,"erie, pa"
21660,"eugene, or"
21780,"evansville, in-ky"
21820,"fairbanks, ak"
22020,"fargo, nd-mn"
22140,"farmington, nm"
22180,"fayetteville, nc"
22220,"fayetteville-springdale-rogers, ar-mo"
22380,"flagstaff, az"
22420,"flint, mi"
22500,"florence, sc"
22520,"florence-muscle shoals, al"
22540,"fond du lac, wi"
22660,"fort collins, co"
22900,"fort smith, ar-ok"
23060,"fort wayne, in"
23420,"fresno, ca"
23460,"gadsden, al"
23540,"gainesville, fl"
23580,"gainesville, ga"
23900,"gettysburg, pa"
24020,"glens falls, ny"
24140,"goldsboro, nc"
24220,"grand forks, nd-mn"
24260,"grand island, ne"
24300,"grand junction, co"
24340,"grand rapids-wyoming, mi"
24420,"grants pass, or"
24500,"great falls, mt"
24540,"greeley, co"
24580,"green bay, wi"
24660,"greensboro-high point, nc"
24780,"greenville, nc"
24860,"greenville-anderson-mauldin, sc"
25020,"guayama, pr"
25060,"gulfport-biloxi-pascagoula, ms"
25180,"hagerstown-martinsburg, md-wv"
25220,"hammond, la"
25260,"hanford-corcoran, ca"
25420,"harrisburg-carlisle, pa"
25500,"harrisonburg, va"
25540,"hartford-west hartford-east hartford, ct"
25620,"hattiesburg, ms"
25860,"hickory-lenoir-morganton, nc"
25940,"hilton head island-bluffton-beaufort, sc"
25980,"hinesville, ga"
26140,"homosassa springs, fl"
26300,"hot springs, ar"
26380,"houma-thibodaux, la"
26420,"houston-the woodlands-sugar land, tx"
26580,"huntington-ashland, wv-ky-oh"
26620,"huntsville, al"
26820,"idaho falls, id"
26900,"indianapolis-carmel-anderson, in"
26980,"iowa city, ia"
27060,"ithaca, ny"
27100,"jackson, mi"
27140,"jackson, ms"
27180,"jackson, tn"
27260,"jacksonville, fl"
27340,"jacksonville, nc"
27500,"janesville-beloit, wi"
27620,"jefferson city, mo"
27740,"johnson city, tn"
27780,"johnstown, pa"
27860,"jonesboro, ar"
27900,"joplin, mo"
27980,"kahului-wailuku-lahaina, hi"
28020,"kalamazoo-portage, mi"
28100,"kankakee, il"
28140,"kansas city, mo-ks"
28420,"kennewick-richland, wa"
28660,"killeen-temple, tx"
28700,"kingsport-bristol-bristol, tn-va"
28740,"kingston, ny"
28940,"knoxville, tn"
29020,"kokomo, in"
29100,"la crosse-onalaska, wi-mn"
29180,"lafayette, la"
29200,"lafayette-west lafayette, in"
29340,"lake charles, la"
29420,"lake havasu city-kingman, az"
29460,"lakeland-winter haven, fl"
29540,"lancaster, pa"
29620,"lansing-east lansing, mi"
29700,"laredo, tx"
29740,"las cruces, nm"
29820,"las vegas-henderson-paradise, nv"
29940,"lawrence, ks"
30020,"lawton, ok"
30140,"lebanon, pa"
30300,"lewiston, id-wa"
30340,"lewiston-auburn, me"
30460,"lexington-fayette, ky"
30620,"lima, oh"
30700,"lincoln, ne"
30780,"little rock-north little rock-conway, ar"
30860,"logan, ut-id"
30980,"longview, tx"
31020,"longview, wa"
31080,"los angeles-long beach-anaheim, ca"
31140,"louisville/jefferson county, ky-in"
31180,"lubbock, tx"
31340,"lynchburg, va"
31420,"macon, ga"
31460,"madera, ca"
31540,"madison, wi"
31700,"manchester-nashua, nh"
31740,"manhattan, ks"
31860,"mankato-north mankato, mn"
31900,"mansfield, oh"
32420,"mayagüez, pr"
32580,"mcallen-edinburg-mission, tx"
32780,"medford, or"
32820,"memphis, tn-ms-ar"
32900,"merced, ca"
33100,"miami-fort lauderdale-west palm beach, fl"
33140,"michigan city-la porte, in"
33220,"midland, mi"
33260,"midland, tx"
33340,"milwaukee-waukesha-west allis, wi"
33460,"minneapolis-st. paul-bloomington, mn-wi"
33540,"missoula, mt"
33660,"mobile, al"
33700,"modesto, ca"
33740,"monroe, la"
33780,"monroe, mi"
33860,"montgomery, al"
34060,"morgantown, wv"
34100,"morristown, tn"
34580,"mount vernon-anacortes, wa"
34620,"muncie, in"
34740,"muskegon, mi"
34820,"myrtle beach-conway-north myrtle beach, sc-nc"
34900,"napa, ca"
34940,"naples-immokalee-marco island, fl"
34980,"nashville-davidson--murfreesboro--franklin, tn"
35100,"new bern, nc"
35300,"new haven-milford, ct"
35380,"new orleans-metairie, la"
35620,"new york-newark-jersey city, ny-nj-pa"
35660,"niles-benton harbor, mi"
35840,"north port-sarasota-bradenton, fl"
35980,"norwich-new london, ct"
36100,"ocala, fl"
36140,"ocean city, nj"
36220,"odessa, tx"
36260,"ogden-clearfield, ut"
36420,"oklahoma city, ok"
36500,"olympia-tumwater, wa"
36540,"omaha-council bluffs, ne-ia"
36740,"orlando-kissimmee-sanford, fl"
36780,"oshkosh-neenah, wi"
36980,"owensboro, ky"
37100,"oxnard-thousand oaks-ventura, ca"
37340,"palm bay-melbourne-titusville, fl"
37460,"panama city, fl"
37620,"parkersburg-vienna, wv"
37860,"pensacola-ferry pass-brent, fl"
37900,"peoria, il"
37980,"philadelphia-camden-wilmington, pa-nj-de-md"
38060,"phoenix-mesa-scottsdale, az"
38220,"pine bluff, ar"
38300,"pittsburgh, pa"
38340,"pittsfield, ma"
38540,"pocatello, id"
38660,"ponce, pr"
38860,"portland-south portland, me"
38900,"portland-vancouver-hillsboro, or-wa"
38940,"port st. lucie, fl"
39140,"prescott, az"
39300,"providence-warwick, ri-ma"
39340,"provo-orem, ut"
39380,"pueblo, co"
39460,"punta gorda, fl"
39540,"racine, wi"
39580,"raleigh, nc"
39660,"rapid city, sd"
39740,"reading, pa"
39820,"redding, ca"
39900,"reno, nv"
40060,"richmond, va"
40140,"riverside-san bernardino-ontario, ca"
40220,"roanoke, va"
40340,"rochester, mn"
40380,"rochester, ny"
40420,"rockford, il"
40580,"rocky mount, nc"
40660,"rome, ga"
40900,"sacramento--roseville--arden-arcade, ca"
40980,"saginaw, mi"
41060,"st. cloud, mn"
41100,"st. george, ut"
41140,"st. joseph, mo-ks"
41180,"st. louis, mo-il"
41420,"salem, or"
41500,"salinas, ca"
41540,"salisbury, md-de"
41620,"salt lake city, ut"
41660,"san angelo, tx"
41700,"san antonio-new braunfels, tx"
41740,"san diego-carlsbad, ca"
41860,"san francisco-oakland-hayward, ca"
41900,"san germán, pr"
41940,"san jose-sunnyvale-santa clara, ca"
41980,"san juan-carolina-caguas, pr"
42020,"san luis obispo-paso robles-arroyo grande, ca"
42100,"santa cruz-watsonville, ca"
42140,"santa fe, nm"
42200,"santa maria-santa barbara, ca"
42220,"santa rosa, ca"
42340,"savannah, ga"
42540,"scranton--wilkes-barre--hazleton, pa"
42660,"seattle-tacoma-bellevue, wa"
42680,"sebastian-vero beach, fl"
42700,"sebring, fl"
43100,"sheboygan, wi"
43300,"sherman-denison, tx"
43340,"shreveport-bossier city, la"
43420,"sierra vista-douglas, az"
43580,"sioux city, ia-ne-sd"
43620,"sioux falls, sd"
43780,"south bend-mishawaka, in-mi"
43900,"spartanburg, sc"
44060,"spokane-spokane valley, wa"
44100,"springfield, il"
44140,"springfield, ma"
44180,"springfield, mo"
44220,"springfield, oh"
44300,"state college, pa"
44420,"staunton-waynesboro, va"
44700,"stockton-lodi, ca"
44940,"sumter, sc"
45060,"syracuse, ny"
45220,"tallahassee, fl"
45300,"tampa-st. petersburg-clearwater, fl"
45460,"terre haute, in"
45500,"texarkana, tx-ar"
45540,"the villages, fl"
45780,"toledo, oh"
45820,"topeka, ks"
45940,"trenton, nj"
46060,"tucson, az"
46140,"tulsa, ok"
46220,"tuscaloosa, al"
46340,"tyler, tx"
46520,"urban honolulu, hi"
46540,"utica-rome, ny"
46660,"valdosta, ga"
46700,"vallejo-fairfield, ca"
47020,"victoria, tx"
47220,"vineland-bridgeton, nj"
47260,"virginia beach-norfolk-newport news, va-nc"
47300,"visalia-porterville, ca"
47380,"waco, tx"
47460,"walla walla, wa"
47580,"warner robins, ga"
47900,"washington-arlington-alexandria, dc-va-md-wv"
47940,"waterloo-cedar falls, ia"
48060,"watertown-fort drum, ny"
48140,"wausau, wi"
48260,"weirton-steubenville, wv-oh"
48300,"wenatchee, wa"
48540,"wheeling, wv-oh"
48620,"wichita, ks"
48660,"wichita falls, tx"
48700,"williamsport, pa"
48900,"wilmington, nc"
49020,"winchester, va-wv"
49180,"winston-salem, nc"
49340,"worcester, ma-ct"
49420,"yakima, wa"
49620,"york-hanover, pa"
49660,"youngstown-warren-boardman, oh-pa"
49700,"yuba city, ca"
49740,"yuma, az"
